RAJ2000,DEJ2000,Seq,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,__3_6_,e__3_6_,__4_5_,e__4_5_,__5_8_,e__5_8_,__8_0_,e__8_0_,__24_,e__24_,AKs,alpha,Cl,_2M,Simbad
84.897705,-7.323861,600,0.0,0.0,15.53,0.14,14.27,0.09,13.34,0.01,12.82,0.01,12.33,0.02,11.51,0.02,8.94,0.11,1.07,-0.74,"D ",2M,Simbad
85.057915,-7.323806,601,14.0,0.03,12.5,0.03,11.42,0.03,9.91,0.01,9.2,0.01,8.59,0.01,7.89,0.01,3.99,0.02,0.45,-0.53,"D ",2M,Simbad
84.93804,-7.320417,602,0.0,0.0,0.0,0.0,0.0,0.0,14.42,0.01,13.33,0.01,12.2,0.02,10.7,0.01,6.56,0.02,0.0,1.44,"P ",2M,Simbad
85.07008,-7.318611,603,13.14,0.03,12.33,0.03,11.74,0.03,11.17,0.01,10.83,0.01,10.59,0.01,9.98,0.01,7.22,0.03,0.0,-1.5,"D ",2M,Simbad
84.9525,-7.3180833,604,16.72,0.18,15.4,0.12,14.23,0.09,13.21,0.01,12.73,0.01,12.36,0.02,11.51,0.04,8.26,0.06,0.16,-0.92,"D ",2M,Simbad
84.33283,-7.316,605,12.69,0.02,12.0,0.02,11.57,0.02,11.0,0.01,10.55,0.01,10.28,0.01,9.58,0.01,6.98,0.02,0.0,-1.26,"D ",2M,Simbad
84.08146,-7.310806,606,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.01,13.36,0.01,12.35,0.02,11.38,0.02,8.26,0.07,0.0,0.73,FP,2M,Simbad
84.648415,-7.3065557,607,0.0,0.0,0.0,0.0,0.0,0.0,14.91,0.02,14.61,0.02,14.36,0.14,13.86,0.14,0.0,0.0,0.0,-1.64,"D ",2M,Simbad
84.51667,-7.2973056,608,13.74,0.03,12.97,0.03,12.6,0.03,11.9,0.01,11.48,0.01,11.1,0.01,10.45,0.01,7.71,0.04,0.04,-1.18,"D ",2M,Simbad
84.316,-7.297222,609,0.0,0.0,0.0,0.0,0.0,0.0,13.52,0.01,12.76,0.01,12.02,0.02,10.79,0.01,7.21,0.03,0.0,0.28,FP,2M,Simbad
84.83554,-7.2919445,610,15.65,0.08,14.21,0.04,13.49,0.05,12.88,0.01,12.64,0.01,12.46,0.02,11.9,0.03,7.88,0.05,0.63,-1.74,"D ",2M,Simbad
84.640915,-7.2841945,611,11.09,0.02,10.36,0.02,10.14,0.02,10.01,0.01,9.99,0.01,9.96,0.01,9.91,0.01,7.34,0.03,0.1,-2.72,"D ",2M,Simbad
84.74438,-7.2793612,612,9.62,0.03,8.6,0.05,7.59,0.02,6.32,0.01,6.0,0.01,5.52,0.01,4.7,0.01,0.76,0.01,0.0,-0.96,"D ",2M,Simbad
84.520584,-7.2696667,613,12.4,0.02,11.23,0.03,10.48,0.02,9.45,0.01,9.0,0.01,8.58,0.01,7.72,0.01,5.18,0.01,0.28,-0.86,"D ",2M,Simbad
84.50337,-7.264972,614,11.83,0.03,11.03,0.03,10.69,0.03,10.08,0.01,9.54,0.01,9.29,0.01,8.41,0.01,5.58,0.02,0.11,-0.99,"D ",2M,Simbad
84.10475,-7.2486944,615,0.0,0.0,0.0,0.0,0.0,0.0,16.29,0.05,14.72,0.02,13.26,0.05,11.88,0.02,8.4,0.08,0.0,2.22,FP,2M,Simbad
84.11513,-7.2274165,616,16.61,0.12,15.44,0.1,14.98,0.1,14.41,0.01,13.98,0.01,13.48,0.05,0.0,0.0,0.0,0.0,0.49,0.0,"D ",2M,Simbad
84.76234,-7.2145276,617,0.0,0.0,0.0,0.0,13.97,0.07,10.77,0.01,9.39,0.01,8.41,0.01,7.57,0.01,2.52,0.01,0.0,0.79,"P ",2M,Simbad
84.67825,-7.212167,618,10.82,0.03,9.28,0.03,8.12,0.02,7.01,0.01,5.95,0.01,5.38,0.01,4.31,0.01,1.28,0.01,0.45,0.16,"D ",2M,Simbad
84.729126,-7.19825,619,14.48,0.03,12.54,0.03,11.5,0.03,10.52,0.01,10.2,0.01,9.69,0.01,9.04,0.01,6.24,0.02,1.05,-1.11,"D ",2M,Simbad
84.318375,-7.1962223,620,14.65,0.04,13.98,0.04,13.63,0.05,13.1,0.01,12.67,0.01,12.67,0.03,12.16,0.04,7.78,0.04,0.0,-1.85,"D ",2M,Simbad
84.44925,-7.193861,621,13.4,0.02,12.69,0.03,12.32,0.03,11.77,0.01,11.53,0.01,11.31,0.01,10.72,0.01,7.84,0.05,0.0,-1.64,"D ",2M,Simbad
83.74587,-7.187667,622,15.73,0.06,15.1,0.09,14.78,0.09,14.1,0.04,13.77,0.01,13.33,0.04,12.72,0.04,0.0,0.0,0.0,-1.23,"D ",2M,Simbad
84.14484,-7.187139,623,0.0,0.0,0.0,0.0,15.18,0.13,13.68,0.01,12.9,0.01,12.17,0.02,10.88,0.01,6.75,0.02,0.0,0.35,"P ",2M,Simbad
84.77233,-7.1847777,624,12.78,0.03,11.37,0.02,10.54,0.02,8.53,0.01,7.84,0.01,7.01,0.01,6.16,0.01,2.93,0.01,0.52,-0.08,"D ",2M,Simbad
84.69317,-7.1847777,625,16.46,0.16,14.44,0.06,13.39,0.05,12.59,0.01,12.18,0.01,11.8,0.01,11.33,0.02,0.0,0.0,1.13,-1.39,"D ",2M,Simbad
84.652626,-7.1833887,626,12.6,0.03,11.37,0.03,10.73,0.02,9.82,0.01,9.34,0.01,8.65,0.01,7.68,0.01,4.22,0.02,0.42,-0.34,"D ",2M,Simbad
84.688835,-7.182194,627,0.0,0.0,15.62,0.17,13.4,0.06,11.41,0.01,9.83,0.01,8.97,0.01,8.18,0.01,3.17,0.01,0.0,0.76,"P ",2M,Simbad
84.78154,-7.181139,628,0.0,0.0,0.0,0.0,0.0,0.0,15.14,0.02,14.4,0.02,14.02,0.09,13.05,0.07,5.72,0.01,0.0,-0.52,"P ",2M,Simbad
84.77429,-7.177611,629,0.0,0.0,0.0,0.0,0.0,0.0,13.52,0.01,11.92,0.01,10.91,0.01,9.5,0.01,1.97,0.01,0.0,1.68,"P ",2M,Simbad
84.79938,-7.1763887,630,0.0,0.0,0.0,0.0,14.35,0.12,10.2,0.01,8.49,0.01,7.42,0.01,6.54,0.01,3.22,0.01,0.0,1.28,"P ",2M,Simbad
